"Title","Authors","Publish Date (Year)"
"500 Full-Size Patchwork Patterns","By Malone, Maggie","1899"
"Cases in managerial finance (The Dryden Press series in finance)","By Eugene F Brigham","1983"
"Stress And The Family: Coping With Normative Transitions (Psychosocial Stress Series)","By McCubbin, Hamilton I. (EDT)","1983"
"Demon of the Waters: The True Story of the Mutiny on the Whaleship Globe","By Gibson, Gregory","2002"
"The Tiananmen Papers : The Chinese Leadership's Decision to Use Force Against Their Own People - In Their Own Words","By Liang, Zhang (COM), Nathan, Andrew J. (EDT), Link, Perry (EDT), Nathan, Andrew J., Zhang, Liang, Link, E. Perry (EDT), Zhang, Liang (EDT), Link, E. Perry, and Liang, Zhang","2001"
"Struggle for Intimacy (Adult Children of Alcoholics series)","By Woititz, Janet Geringer","1986"
"550 Home Landscaping Ideas","By Fell, Derek and Erler, Catriona","1992"
"Money Harmony: Resolving Money Conflicts in Your Life and Relationships","By Mellan, Olivia","1994"
"The Everything Cover Letter Book (Everything)","By Graber, Steven and Lipsman, Mark","2000"
"Norman Mark's Chicago: Walking, bicycling & driving tours of the city","By Mark, Norman","1987"
"Believing in Jesus","By Foley, Leonard","1985"
"Irish Druids and Old Irish Religions","By Bonwick, James","1986"
"Eat Smart for a Healthy Heart Cookbook","By Cooley, Denton A., M.D. and Moore, Carolyn E.","1992"
"I Can Print A to Z (Wipe-off Activity Book--Reusable)","By Enterprises Incorporated Trend","1997"
"1-2-3 Murals: Simple Murals to Make from Children's Open-Ended Art","By Warren, Jean","1989"
"A Book of Americans","By Benet, Rosemary","1933"
"The Pleasures of Watching Birds","By Oberman, Lola and Swan, Joy (ILT)","1991"
"Young Men and Fire","By MacLean, Norman","1992"
"The Heritage of British Literature","By Bowen, Elizabeth","1986"
"Creating Sanctuary: A New Approach to Gardening in the Washington Metropolitan Area","By Mitchell, Sherry","1996"
"Spain (Culture Shock! A Survival Guide to Customs & Etiquette)","By Graff, Marie Louise","2001"
"The Metropolitan Museum of Art: The Cloisters; the Building and the Collection of Medieval Art in Fort Tryon Park","By James Joseph Rorimer","1951"
"Second Treatise of Government","By John Locke","1952"
"Worldwide Wonders","By Harris, Tina","1986"
"Essential History of Art","By Editor","2000"
"Where to Find It in the Bible: The Ultimate A to Z Resource","By Ken Anderson","1996"
"The German Panzers, from Mark I to Mark V ""Panther"" - Armor Series 2","By Feist, Uwe","1966"
"What Makes a Goya a Goya?","By Muhlberger, Richard","1994"
"How to Be Your Dog's Best Friend: A Training Manual for Dog Owners","By Monks, New Skete","1978"
"Let Freedom Ring: Winning the War of Liberty over Liberalism","By Hannity, Sean","2002"
"When All Hell Breaks Loose","By Spencer, Camika","2000"
"Gorgias (The Penguin Classics, L94)","By Plato and Hamilton, Walter","1971"
"Quiet Times for Couples","By Wright, H. Norman","1997"
"Herds of Thunder, Manes of Gold","By Coville, Bruce","1991"
"Transitions: Making Sense of Life's Changes","By Bridges, William","1980"
"Beginner's Guide to Golf","By Lumb, Nick","1989"
"I am the fox,","By Winifred Van Etten","1936"
"Secretaries of war and secretaries of the army: Portraits & biographical sketches (CMH pub)","By Bell, William Gardner","1992"
"A Contest of Faiths: Missionary Women and Pluralism in the America Southwest","By Yohn, Susan M.","1995"
"The Single Parent's Money Guide","By Card, Emily and Kelly, Christie Watts","1996"
"F2f","By Finch, Phillip","1996"
"Freud's Wishful Dream Book","By Welsh, Alexander","1994"
"Ingenious Inventions of Domestic Utility","By Bragdon, Allen D.","1989"
"Complete Idiot's Guide to Parenting Your Teenager (The Complete Idiot's Guide)","By Kelly, Kate","1996"
"The Antiques Care & Repair Handbook","By Jackson, Albert and Day, David","1984"
"Great Pyramid: Its Secrets & Mysteries Revealed","By Smyth, Charles Piazzi","1978"
"Holy War Inc. Inside the Secret World of Osama Bin Laden","By Bergen, Peter L.","2001"
"Flavor","By DiSpirito, Rocco, Leutwyler, Henry, and Sherer, Kris","2003"
"Twentieth-century art from the Nelson Aldrich Rockefeller collection","By LIEBERMAN, Nelson A","1969"
"7 Simple Steps to Unclutter Your Life","By Smallin, Donna","2000"
"Virginia trout streams: A guide to fishing the Blue Ridge watershed","By Slone, Harry","1991"
"How to Fool Fish With Feathers: The Incompleat Guide to Fly-Fishing","By MacNelly, Jeff and Margolis, Jon","1992"
"Tom Brown's Schooldays (Oxford World's Classics)","By Sanders, Andrew, Hughes, Arthur, and Hughes, Thomas","1999"
"Metamorphoses (Oxford World's Classics)","By Ovid, Melville, A. D. (TRN), and Kenney, E. J. (INT)","1998"
"Germinal (Oxford World's Classics)","By Zola, Emile, Collier, Peter (TRN), and Lethbridge, Robert (TRN)","1998"
"The California Coastal Resource Guide","By California Coastal Commission, Caughman, Madge, and Ginsberg, Joanne S.","1987"
"Tools and Gadgets (Historic Communities (Paperback))","By Kalman, Bobbie","1992"
"Matilda","By Gallico, Paul","1970"
"The Ultimate Book Of Paint Effects","By Salli Brand, Jullie Collins, Catherine Cumming, Tricia Greening, Katrina Hall, Frances Halliday, Clare Louise Hunt, Joanna Jones, Lawrence Llewelyn Bo","2004"
"Where No One Has Gone Before: A History in Pictures (Star Trek)","By Dillard, J. M. and Dillar, J. M.","1994"
"Superdog: Raising the Perfect Canine Companion","By Fox, Michael W.","1996"
"Football America: Celebrating Our National Passion","By Barber, Phil and Didinger, Ray","1996"
"In Our Own Image: Building an Artificial Person","By Caudill, Maureen","1992"
"Death and Deconstruction","By Fleming, Anne","1995"
"1990 BEST-RECIPES YEARBOOK","By ""Better Homes and Gardens""","1990"
"People of the High Plateau","By Berman, Carl","1988"
"The Education of the Heart: Readings and Sources for Care of the Soul, Soul Mates, and The Re-Enchantment of Everyday Life","By Moore, Thomas (EDT)","1997"
"Legends: Conversations With Baseball Greats","By Rust, Art and Marley, Michael","1989"
"Out to Canaan (Book 4 of the Mitford Years)","By Karon, Jan","1998"
"Management and Organizational Behavior","By Hunsaker, Phillip L., Cook, Curtis W., and Coffey, Robert E.","1996"
"What Every Woman Needs to Know about Menopause: The Years Before, During, and After","By Minkin, Mary Jane, M.D. and Wright, Carol V.","1997"
"Garfield Book of Cat Names","By Davis, Jim and Wallace, Carol","1988"
"Introductory clinical pharmacology","By Jeanne C Scherer","1975"
"Decorating with Wreaths, Garlands, Topiaries & Bouquets","By Mays, Steven (PHT) and Sterbenz, Carol Endler","1995"
"Prince Charles","By Brown, Michele","1980"
"Laura Ashley Color: Using Color to Decorate Your Home","By Berry, Susan, Laura Ashley (Firm) (COR), Ashley, Laura, and Kuscenko, Valerie (EDT)","1995"
"Shark Tank: Greed, Politics, and the Collapse of Finley Kumble, One of America's Largest Law Firms","By Eisler, Kim Isaac","1990"
"Antiques as an Investment","By Rush, Richard H.","1968"
"The Real War on Crime: Report of the National Criminal Justice Commission, The","By National Criminal Justice Commission (U. S.) (COR) and Donziger, Steven A. (EDT)","1996"
"Ernie And His Merry Monsters (Sesame Street Good-Night Stories)","By Michaela Muntean","1997"
"The Quarterlifer's Companion : How to Get on the Right Career Path, Control Your Finances, and Find the Support Network You Need to Thrive","By Wilner, Abby and Stocker, Catherine","2005"
"Leaving Town Alive: Confessions of an Arts Warrior","By Frohnmayer, John","1993"
"A Show of Hands: Say It in Sign Language","By Sullivan, Mary Beth and Bourke, Linda","1985"
"Silent Sons: A Book for and About Men","By Ackerman, Robert J.","1994"
"Walker Evans: A Biography","By Evans, Walker and Rathbone, Belinda","2000"
"Meteorology today: An introduction to weather, climate, and the environment","By Ahrens, C. Donald","1988"
"Contest for a Capital: George Washington, Robert Morris, and Congress, 1783-1791, Contenders : Dramatized Events of America's Founding Years","By Loftin, T. L. and Zarambouka, Sofia (ILT)","1989"
"Americas Glorious Quilts","By Duke, Dennis","1997"
"Cars 1886-1930","By Georgano, G. N.","1985"
"Dr Jekyll and Mr Hyde and Weir of Hermiston (Oxford World's Classics)","By Stevenson, Robert Louis and Letley, Emma","1998"
"Spirited Americans: A Commentary on America's Optimists-From the Puritans to the Cybr-Century","By Jeffcoat, A. E.","2000"
"What Went Wrong?: Western Impact and Middle Eastern Response","By Lewis, Bernard","2001"
"Lessons from the Fairway: Inspirational Stories from the Fairway for the Yound and Old Alike!","By Fisher, R. McKenzie","1996"
"Your Sacred Self","By Dyer, Wayne W.","1995"
"The World's Whales: The Complete Illustrated Guide","By Balcomb, Kenneth C., Foster, Larry, and Minasian, Stanley M.","1984"
"Taming and Training Conures","By Teitler, Risa","1981"
"In the Footsteps of Gandhi: Conversations With Spiritual Social Activists","By Ingram, Catherine and Gandhi, Ramchandra (FRW)","1997"
"Is Sex Necessary?: Or, Why You Feel the Way You Do","By White, E. B. and Thurber, James","1990"
"Dark windows,","By McDaniel, Weston Owen","1942"
"The bedside book of Martin Buxbaum","By Buxbaum, Martin","1988"
"The Winemaker's Year: Four Seasons in Bordeaux","By Buller, Michael","1991"
"Balancing Acts","By Hoagland, Edward","1992"
"Sacred Stories: A Celebration of the Power of Story to Transform and Heal","By Simpkinson, Charles (EDT) and Simpkinson, Anne (EDT)","1993"
"Zen Lessons: The Art of Leadership","By Thomas Translated by Cleary","1998"
"Stencil Source Book 2: Over 200 New Designs","By Meehan, Patricia","1995"
"Cities Then & Now","By Antoniou, Jim","1994"
"Gardens of the World: The Art and Practice of Gardening","By Hobhouse, Penelope and McDonald, Elvin (CON)","1991"
"Brass","By Walsh, Helen","2004"
"REASONABLE DOUBTS: The O.J. Simpson Case and the Criminal Justice System","By Dershowitz, Alan M.","1996"
"The Lives of the Muses: Nine Women & the Artists They Inspired","By Prose, Francine","2002"
"Frederic Remington: Paintings, Drawings, and Sculpture in the Amon Carter Museum and the Sid W. Richardson Foundation Collections","By Peter H. Hassrick","1975"
